From state 125:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 126:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 127:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 128:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 129:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 130:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 131:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 132:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 133:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 134:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 135:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 136:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 137:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 138:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 139:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 140:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 141:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 142:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 143:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 144:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 145:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 146:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 147:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 148:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 149:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 150:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 151:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 152:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 153:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 154:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 155:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 156:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 157:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 158:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 159:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 160:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 161:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 162:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 163:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 164:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 165:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 166:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 167:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 168:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 169:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 170:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 171:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 172:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 173:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 174:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 175:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 176:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 177:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 178:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
